Arttırılabilir Azami Bellek,Bağlantılar,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Garanti Süresi,Garanti Tipi,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Menşei,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.523 TL,24 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 512 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T26",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.286 TL,8 GB,DDR4,Koyu Mavi,2 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 2 TB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T04",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,39.439 TL,8 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 1 TB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T03",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,44.061 TL,40 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 40GB 1 TB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T51",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.549 TL,24 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 1 TB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T27",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,43.899 TL,24 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 1 TB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T31",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,44.007 TL,48 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 48 GB 256 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T65",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,43.683 TL,32 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 32GB 512 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T42",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,44.385 TL,40 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 40GB 512 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T54",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.897 TL,8 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 1 TB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T11",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.901 TL,24 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 256 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T33",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,40.516 TL,16 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 16GB 256 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T21",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,43.305 TL,40 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 40GB 256 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T53",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,40.888 TL,8 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 512 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T10",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,39.050 TL,8 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 256 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T05",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.955 TL,40 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 40GB 256 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T49",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.587 TL,16 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 16GB 1 TB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T23",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,37.421 TL,8 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 256 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T01",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.333 TL,32 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 32GB 512 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T38",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.764 TL,16 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 16GB 1 TB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T19",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,38.456 TL,8 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 512 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T02",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.578 TL,16 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 16GB 512 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T22",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,43.737 TL,48 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 48 GB 512 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T62",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.253 TL,32 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 32GB 256 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T37",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,44.169 TL,64 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 64GB 256 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T73",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.657 TL,48 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 48 GB 256 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T61",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.981 TL,24 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 512 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T34",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.086 TL,8 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 1 TB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T07",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.603 TL,32 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 32GB 256 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T41",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,40.094 TL,8 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 512 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T06",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,40.772 TL,16 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 16GB 512 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T18",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,39.129 TL,16 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 16GB 512 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T14",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,44.007 TL,24 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 1 TB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T35",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,43.791 TL,32 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 32GB 512 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T46",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,41.793 TL,24 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 256 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T29",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,40.443 TL,24 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 256 GB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T25",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,39.826 TL,8 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 8GB 256 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T09",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,43.413 TL,40 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 40GB 256 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T57",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,39.728 TL,16 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 16GB 256 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T17",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,43.359 TL,32 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 32GB 1 TB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T39",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.711 TL,32 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 32GB 256 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T45",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,40.112 TL,16 GB,DDR4,Koyu Mavi,1 TB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 16GB 1 TB SSD RTX4050 Freedos 15.6"" FHD 7N9V2EA-T15",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,42.873 TL,24 GB,DDR4,Koyu Mavi,512 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 24GB 512 GB SSD RTX4050 W11HOME 15.6"" FHD 7N9V2EA-T30",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,N/A,IPS,44.115 TL,48 GB,DDR4,Koyu Mavi,256 GB,N/A,"Victus Gaming 15-FA1033NT i5 13500H 48 GB 256 GB SSD RTX4050 W11PRO 15.6"" FHD 7N9V2EA-T69",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Windows,N/A
